"cast_id","cast_name","gender","movie_id","k_role","is_main_cast","index","id","k_title","k_type","k_release_date","k_region","k_movie_year","k_genres","is_rating","rating_num","rating_people","k_rating_people","rating_index","k_movie_id","k_cast_id","uid","portray"
"27502893","祖峰","男","26671336","演员","是","10","26671336","得闲谨制","电影","2025-12-06","中国大陆","2025","剧情/战争","有评分","6.9","268554","268554","1361","53342721","55005835","119","江防军副团长"
"27502893","祖峰","男","26430092","演员","是","6","26430092","欢乐颂","电视剧","2016-04-18","中国大陆","2016","剧情/爱情","有评分","7.5","353514","353514","1628","52860233","55005835","120","魏渭/奇点"
"27484243","夏铭浩","男","26928226","演员","否","999","26928226","知否知否应是绿肥红瘦","电视剧","2018-12-25","中国大陆","2018","剧情/爱情/古装","有评分","8.0","695224","695224","2358","53856501","54968535","121","孙志高"
"27553878","李宏磊","男","36571896","演员","否","999","36571896","命悬一生","电视剧","2025-10-11","中国大陆","2025","剧情/悬疑","有评分","7.7","85010","85010","809","73143841","55107805","122","大宏"
"27553878","李宏磊","男","36534750","演员","是","22","36534750","小巷人家","电视剧","2024-10-28","中国大陆","2024","剧情/家庭","有评分","8.4","287902","287902","1555","73069549","55107805","123","庄赶美"
"27553878","李宏磊","男","36189205","演员","否","999","36189205","凡人歌","电视剧","2024-08-31","中国大陆","2024","剧情/喜剧","有评分","7.7","77700","77700","773","72378459","55107805","124","蔡经理"
"27553878","李宏磊","男","35588265","演员","否","999","35588265","樱桃琥珀","电视剧","2025-07-14","中国大陆","2025","剧情/爱情","有评分","5.7","38891","38891","471","71176579","55107805","125","小张"
"27553878","李宏磊","男","27088993","演员","否","999","27088993","都挺好","电视剧","2019-03-01","中国大陆","2019","剧情/家庭","有评分","7.7","394106","394106","1742","54178035","55107805","126","男同学"
"27553878","李宏磊","男","26671336","演员","否","999","26671336","得闲谨制","电影","2025-12-06","中国大陆","2025","剧情/战争","有评分","6.9","268554","268554","1361","53342721","55107805","127","船上民众"
"27504421","黄轩","男","36571896","演员","是","1","36571896","命悬一生","电视剧","2025-10-11","中国大陆","2025","剧情/悬疑","有评分","7.7","85010","85010","809","73143841","55008891","128","徐庆利"
"27504421","黄轩","男","35033654","演员","是","1","35033654","山海情","电视剧","2021-01-12","中国大陆","2021","剧情","有评分","9.2","481571","481571","2105","70067357","55008891","129","马得福"
