cast_id,cast_name,gender,movie_id,k_role,is_main_cast,index,id,k_title,k_type,k_release_date,k_region,k_movie_year,k_genres,is_rating,rating_num,rating_people,k_rating_people,rating_index,k_movie_id,k_cast_id,uid,portray,movie_id_m,cast_role_agg,main_cast
27483863,平田康之,男,25994712,演员,是,16,25994712,伪装者,电视剧,2015-08-31,中国大陆,2015,剧情/悬疑,有评分,8.6,382758,382758,1814,51989473,54967775,41,藤田芳政,m51989473,演员,"胡歌, 靳东, 刘敏涛, 王凯, 宋轶"
27497285,郭晓峰,男,25994712,演员,是,11,25994712,伪装者,电视剧,2015-08-31,中国大陆,2015,剧情/悬疑,有评分,8.6,382758,382758,1814,51989473,54994619,42,黎叔,m51989473,演员,"胡歌, 靳东, 刘敏涛, 王凯, 宋轶"
27556899,李天烨,男,36534750,演员,否,999,36534750,小巷人家,电视剧,2024-10-28,中国大陆,2024,剧情/家庭,有评分,8.4,287902,287902,1555,73069549,55113847,43,,m73069549,演员,"闫妮, 李光洁, 郭晓东, 蒋欣, 范丞丞"
27482627,吴乙彤,女,34792298,演员,是,30,34792298,相逢时节,电视剧,2022-02-23,中国大陆,2022,剧情,有评分,4.9,33169,33169,403,69584645,54965303,44,张洁,m69584645,演员,"雷佳音, 袁泉, 张艺兴, 贾乃亮, 罗海琼"
27487518,茹萍,女,35613241,演员,是,30,35613241,县委大院,电视剧,2022-12-07,中国大陆,2022,剧情,有评分,6.8,109693,109693,864,71226531,54975085,45,小林妈,m71226531,演员,"胡歌, 吴越, 张新成, 黄磊, 李光洁"
27560090,谢瓦,男,34792296,演员,是,42,34792296,欢迎光临,电视剧,2022-05-18,中国大陆,2022,剧情/喜剧/爱情,有评分,6.4,56516,56516,601,69584641,55120229,46,美国经理,m69584641,演员,"黄轩, 白百何, 朱雨辰, 白宇帆, 丁嘉丽"
27529606,吴国华,男,30423905,演员,是,57,30423905,大江大河2,电视剧,2020-12-20,中国大陆,2020,剧情/历史,有评分,8.7,208072,208072,1345,60847859,55059261,47,老猢狲,m60847859,演员,"王凯, 杨烁, 董子健, 杨采钰, 周放"
27529606,吴国华,男,26797690,演员,是,21,26797690,大江大河,电视剧,2018-12-10,中国大陆,2018,剧情,有评分,8.8,260126,260126,1513,53595429,55059261,48,老猢狲,m53595429,演员,"王凯, 杨烁, 杨烁, 董子健, 童瑶"
27554908,穆梦娇,女,35588265,演员,否,999,35588265,樱桃琥珀,电视剧,2025-07-14,中国大陆,2025,剧情/爱情,有评分,5.7,38891,38891,471,71176579,55109865,49,贾思思,m71176579,演员,"赵今麦, 张凌赫, 董洁, 保剑锋, 董璇"
27221436,霍建华,男,26088457,演员,是,1,26088457,他来了，请闭眼,电视剧,2015-10-15,中国大陆,2015,剧情/悬疑,有评分,6.7,74395,74395,706,52176963,54442921,50,薄靳言,m52176963,演员,"霍建华, 马思纯, 张鲁一, 王凯, 尹正"
27484370,孙征宇,男,26928226,演员,否,999,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,54968789,51,谢将军,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27484370,孙征宇,男,25994712,演员,是,36,25994712,伪装者,电视剧,2015-08-31,中国大陆,2015,剧情/悬疑,有评分,8.6,382758,382758,1814,51989473,54968789,52,刘斌,m51989473,演员,"胡歌, 靳东, 刘敏涛, 王凯, 宋轶"
27559620,陶奕希,女,26928226,演员,否,999,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,55119289,53,小墨兰,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27483562,高子沣,男,26928226,演员,是,25,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,54967173,54,顾廷煜,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27483546,韩烨,女,26928226,演员,是,24,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,54967141,55,丹橘,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27557882,王鹤润,女,26928226,演员,是,13,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,55115813,56,盛华兰,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
27484736,荆浩,男,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,54969521,57,曹飞二叔,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27546005,孙宁,男,30421903,演员,否,999,30421903,淬火年代,电视剧,2025-06-18,中国大陆,2025,剧情,有评分,7.0,21373,21373,387,60843855,55092059,58,吴教授,m60843855,演员,"张新成, 宋祖儿, 王彦霖, 任程伟, 张月"
27559768,延翔,男,36571896,演员,否,999,36571896,命悬一生,电视剧,2025-10-11,中国大陆,2025,剧情/悬疑,有评分,7.7,85010,85010,809,73143841,55119585,59,阚老三,m73143841,演员,"黄轩, 李庚希, 张哲华, 白宇帆, 尹昉"
27559768,延翔,男,35033654,演员,是,42,35033654,山海情,电视剧,2021-01-12,中国大陆,2021,剧情,有评分,9.2,481571,481571,2105,70067357,55119585,60,麻子,m70067357,演员,"黄轩, 张嘉益, 闫妮, 黄觉, 姚晨"
27559768,延翔,男,34792295,演员,是,52,34792295,乔家的儿女,电视剧,2021-08-17,中国大陆,2021,剧情/家庭,有评分,7.7,235622,235622,1347,69584639,55119585,61,文居岸爸,m69584639,演员,"白宇, 宋祖儿, 毛晓彤, 张晚意, 周翊然"
27559768,延翔,男,26928226,演员,否,999,26928226,知否知否应是绿肥红瘦,电视剧,2018-12-25,中国大陆,2018,剧情/爱情/古装,有评分,8.0,695224,695224,2358,53856501,55119585,62,沈从兴,m53856501,演员,"赵丽颖, 冯绍峰, 朱一龙, 施诗, 张佳宁"
